Job_title,Job_link,Company,Location,Expiration_date
Spécialiste Provincial,http://www.mediacongo.net/emploi-societe-18394.html,Cambridge Education,Kananga ou Lubumbashi,09.06.2016
Spécialiste Provincial en Gouvernance,http://www.mediacongo.net/emploi-societe-18393.html,Cambridge Education,Kananga ou Lubumbashi,09.06.2016
Chef d’équipe provincial,http://www.mediacongo.net/emploi-societe-18392.html,Cambridge Education,Kananga,09.06.2016
Administration Officer,http://www.mediacongo.net/emploi-societe-18391.html,EGPAF,Kinshasa,09.06.2016
Chargé de programme,http://www.mediacongo.net/emploi-societe-18389.html,Inades,Kikwit,09.06.2016
Comptable Inventaire,http://www.mediacongo.net/emploi-societe-18399.html,ASF/PSI,Kinshasa,09.06.2016
Inventory Accounting Manager,http://www.mediacongo.net/emploi-societe-18398.html,ASF/PSI,Kinshasa,09.06.2016
Inventory Senior Accountant,http://www.mediacongo.net/emploi-societe-18397.html,ASF/PSI,Kinshasa,09.06.2016
Pharmacien Coordonnateur Contrôle Qualité et Reconditionnement,http://www.mediacongo.net/emploi-societe-18396.html,ASF/PSI,Kinshasa,09.06.2016
Chef de Projet Education Inclusive,http://www.mediacongo.net/emploi-societe-18395.html,Handicap International,Kinshasa,09.06.2016
Spécialiste Provincial,http://www.mediacongo.net/emploi-societe-18394.html,Cambridge Education,Kananga ou Lubumbashi,09.06.2016
Spécialiste Provincial en Gouvernance,http://www.mediacongo.net/emploi-societe-18393.html,Cambridge Education,Kananga ou Lubumbashi,09.06.2016
Chef d’équipe provincial,http://www.mediacongo.net/emploi-societe-18392.html,Cambridge Education,Kananga,09.06.2016
Administration Officer,http://www.mediacongo.net/emploi-societe-18391.html,EGPAF,Kinshasa,09.06.2016
Chargé de programme,http://www.mediacongo.net/emploi-societe-18389.html,Inades,Kikwit,09.06.2016
Notice offer,http://www.mediacongo.net/emploi-societe-18405.html,HPP-Congo,Kinshasa,10.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18403.html,Chemonics,"Kasaï-Oriental, Kasaï-Central, Haut Katanga, Nord-Kivu, Sud-Kivu et Equateur",10.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18401.html,Chemonics,Lubumbashi,10.06.2016
Notice offer,http://www.mediacongo.net/emploi-societe-18405.html,HPP-Congo,Kinshasa,10.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18403.html,Chemonics,"Kasaï-Oriental, Kasaï-Central, Haut Katanga, Nord-Kivu, Sud-Kivu et Equateur",10.06.2016
Plusieurs postes,http://www.mediacongo.net/emploi-societe-18401.html,Chemonics,Lubumbashi,10.06.2016
Landscape Rural Development Manager,http://www.mediacongo.net/emploi-societe-18407.html,WWF,Salonga,13.06.2016
Prestataire de service,http://www.mediacongo.net/emploi-societe-18414.html,AWF,Lomako Yokokala,13.06.2016
"Manager, Relations avec les communautés",http://www.mediacongo.net/emploi-societe-18410.html,Groupe FERONIA,Kinshasa,13.06.2016
Procurement Officer,http://www.mediacongo.net/emploi-societe-18409.html,PATH,Kinshasa,13.06.2016
Landscape Rural Development Manager,http://www.mediacongo.net/emploi-societe-18407.html,WWF,Salonga,13.06.2016
Manager développement de capacités des OSC,http://www.mediacongo.net/emploi-societe-18422.html,IRC,Kinshasa,14.06.2016
Assistant du Programme PARTICIPE Congo,http://www.mediacongo.net/emploi-societe-18421.html,IRC,Kinshasa,14.06.2016
"Chargé Base de données, Suivi -évaluation et SIG",http://www.mediacongo.net/emploi-societe-18420.html,WWF,Monkoto (Tshuapa),14.06.2016
Conseiller (ère) technique en nutrition,http://www.mediacongo.net/emploi-societe-18419.html,GIZ,Kabwela,14.06.2016
Conseiller Technique Agriculture et Élevage,http://www.mediacongo.net/emploi-societe-18418.html,GIZ,Kabwela,14.06.2016
Assistant(e) en Communication,http://www.mediacongo.net/emploi-societe-18417.html,GIZ,Kabwela,14.06.2016
